Hour,FPR_Query,FNR_Query,FPR_Insert,FNR_Insert,FPR_Delete,FNR_Delete,Inserts,Deletes,Queries,Insert_Rate,Delete_Rate,Query_Rate
107,0,0,0,0.0004,0,0,2724,429,776,6.5956,1.0387,1.8789
108,0,0,0,0.0004,0,0,2774,389,766,6.7167,0.9419,1.8547
109,0,0,0,0,0,0,2735,379,815,6.6223,0.9177,1.9734
110,0,0,0,0.0004,0,0,2744,434,751,6.6441,1.0508,1.8184
111,0,0,0,0,0.0027,0,2780,367,782,6.7312,0.8886,1.8935
112,0,0,0,0,0,0,2763,375,791,6.6901,0.908,1.9153
113,0,0,0,0.0004,0,0,2748,384,797,6.6538,0.9298,1.9298
114,0,0,0,0.0004,0,0,2762,366,801,6.6877,0.8862,1.9395
115,0,0,0,0.0004,0,0,2745,411,773,6.6465,0.9952,1.8717
116,0,0,0,0.0004,0,0,2774,402,753,6.7167,0.9734,1.8232
117,0,0,0,0.0004,0,0,2728,392,809,6.6053,0.9492,1.9588
118,0,0,0,0.0004,0,0,2745,399,785,6.6465,0.9661,1.9007
119,0,0,0,0.0004,0,0,2772,375,782,6.7119,0.908,1.8935
120,0,0,0,0.0004,0,0,2761,402,766,6.6852,0.9734,1.8547
121,0,0,0,0.0004,0,0,2746,393,790,6.6489,0.9516,1.9128
122,0,0,0,0,0,0,2725,397,807,6.5981,0.9613,1.954
123,0,0,0,0,0,0,2738,413,778,6.6295,1,1.8838
124,0,0,0,0.0004,0,0,2800,349,780,6.7797,0.845,1.8886
125,0,0,0,0.0004,0,0,2722,402,805,6.5908,0.9734,1.9492
126,0,0,0,0.0004,0,0,2722,396,811,6.5908,0.9588,1.9637
127,0,0,0,0,0,0,2735,383,811,6.6223,0.9274,1.9637
128,0,0,0,0,0.0025,0,2705,405,819,6.5496,0.9806,1.9831
129,0,0,0,0.0004,0,0,2740,400,789,6.6344,0.9685,1.9104
130,0,0,0,0.0004,0,0,2743,416,770,6.6416,1.0073,1.8644
131,0,0,0,0.0004,0,0,2775,412,742,6.7191,0.9976,1.7966
132,0,0,0,0,0.0025,0,2676,409,844,6.4794,0.9903,2.0436
133,0,0,0,0,0,0,2734,418,777,6.6199,1.0121,1.8814
134,0,0,0,0.0004,0,0,2745,420,764,6.6465,1.0169,1.8499
135,0,0,0,0,0,0,2684,382,863,6.4988,0.9249,2.0896
136,0,0,0,0,0,0,2735,397,797,6.6223,0.9613,1.9298
137,0,0,0,0,0.0023,0,2718,435,776,6.5811,1.0533,1.8789
138,0,0,0,0.0004,0,0,2780,380,769,6.7312,0.9201,1.862
139,0,0,0,0,0.0024,0,2724,410,795,6.5956,0.9927,1.9249
140,0,0,0,0.0004,0,0,2738,381,810,6.6295,0.9225,1.9613
141,0,0,0,0,0,0,2763,405,761,6.6901,0.9806,1.8426
142,0,0,0,0.0004,0,0,2809,354,766,6.8015,0.8571,1.8547
143,0,0,0,0.0004,0,0,2784,413,732,6.7409,1,1.7724
144,0,0,0,0,0.0027,0,2794,369,766,6.7651,0.8935,1.8547
145,0,0,0,0.0004,0,0,2776,405,748,6.7215,0.9806,1.8111
146,0,0,0,0.0004,0,0,2745,388,796,6.6465,0.9395,1.9274
147,0,0,0,0.0004,0,0,2734,400,795,6.6199,0.9685,1.9249
148,0,0,0,0.0004,0,0,2725,372,832,6.5981,0.9007,2.0145
149,0,0,0,0,0,0,2710,408,811,6.5617,0.9879,1.9637
150,0,0,0,0.0004,0,0,2742,406,781,6.6392,0.9831,1.891
151,0,0,0,0,0,0,2753,415,761,6.6659,1.0048,1.8426
152,0,0,0,0,0.0028,0,2782,361,786,6.7361,0.8741,1.9031
153,0,0,0,0.0004,0,0,2752,409,768,6.6634,0.9903,1.8596
154,0,0,0,0,0.0024,0,2748,410,771,6.6538,0.9927,1.8668
155,0,0,0,0,0,0,2702,386,841,6.5424,0.9346,2.0363
156,0,0,0,0.0004,0,0,2738,408,783,6.6295,0.9879,1.8959
157,0,0,0,0.0004,0,0,2748,408,773,6.6538,0.9879,1.8717
158,0,0,0,0.0004,0,0,2752,401,776,6.6634,0.9709,1.8789
159,0,0,0,0.0004,0,0,2744,410,775,6.6441,0.9927,1.8765
160,0,0,0,0.0004,0,0,2812,378,739,6.8087,0.9153,1.7893
161,0,0,0,0.0004,0,0,2801,374,754,6.7821,0.9056,1.8257
162,0,0,0,0,0,0,2797,381,751,6.7724,0.9225,1.8184
163,0,0,0,0,0.0026,0,2726,381,822,6.6005,0.9225,1.9903
164,0,0,0,0,0,0,2781,380,768,6.7337,0.9201,1.8596
165,0,0,0,0.0004,0,0,2745,381,803,6.6465,0.9225,1.9443
166,0,0,0,0,0.0024,0,2740,425,764,6.6344,1.0291,1.8499
167,0,0,0,0.0004,0,0,2800,366,763,6.7797,0.8862,1.8475
168,0,0,0,0.0004,0,0,2743,404,782,6.6416,0.9782,1.8935
169,0,0,0,0.0004,0,0,2746,397,786,6.6489,0.9613,1.9031
170,0,0,0,0,0,0,2745,402,782,6.6465,0.9734,1.8935
171,0,0,0,0.0004,0,0,2721,395,813,6.5884,0.9564,1.9685
172,0,0,0,0.0004,0,0,2741,430,758,6.6368,1.0412,1.8354
